fon_kodu,unvan,risk_seviyesi,yonetim_ucreti,pys,kategori,fon_buyuklugu,yatirimci_sayisi
NHL,NN HAYAT VE EMEKLİLİK A.Ş. OKS DİNAMİK DEĞİŞKEN EMEKLİLİK YATIRIM FONU,4,,NN HAYAT VE EMEKLİLİK A.Ş.,Belirtilmemiş,9754516,825
NHO,NN HAYAT VE EMEKLİLİK A.Ş. OKS STANDART EMEKLİLİK YATIRIM FONU,3,,NN HAYAT VE EMEKLİLİK A.Ş.,Belirtilmemiş,227083794,125766
NHR,NN HAYAT VE EMEKLİLİK A.Ş. OKS KATILIM STANDART EMEKLİLİK YATIRIM FONU,2,,NN HAYAT VE EMEKLİLİK A.Ş.,Belirtilmemiş,119227418,106271
NNK,NN HAYAT VE EMEKLİLİK A.Ş. KATILIM KATKI EMEKLİLİK YATIRIM FONU,3,,NN HAYAT VE EMEKLİLİK A.Ş.,Belirtilmemiş,17841395,67340
PRC,BNP PARİBAS CARDİF EMEKLİLİK A.Ş. BAŞLANGIÇ KATILIM EMEKLİLİK YATIRIM FONU,1,0.85,BNP PARIBAS CARDIF EMEKLİLİK A.Ş.,Başlangıç Katılım Fonu,66389854,11975
PRS,BNP PARİBAS CARDİF EMEKLİLİK A.Ş. BAŞLANGIÇ EMEKLİLİK YATIRIM FONU,1,0.85,BNP PARIBAS CARDIF EMEKLİLİK A.Ş.,Başlangıç Fonu,65127493,12600
TKV,BEREKET EMEKLİLİK VE HAYAT A.Ş. BAŞLANGIÇ KATILIM EMEKLİLİK YATIRIM FONU,1,0.85,BEREKET EMEKLİLİK VE HAYAT A.Ş.,Başlangıç Katılım Fonu,61474083,7875
VEE,TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. DİNAMİK DEĞİŞKEN EMEKLİLİK YATIRIM FONU,7,,TÜRKİYE HAYAT VE EMEKLİLİK A.Ş.,Değişken Fon,2502049126,120248
VEI,TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. KATKI EMEKLİLİK YATIRIM FONU,5,0.361,TÜRKİYE HAYAT VE EMEKLİLİK A.Ş.,Devlet Katkısı Fonu,53724796149,2724349
VEL,TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. PARA PİYASASI EMEKLİLİK YATIRIM FONU,2,0.9125,TÜRKİYE HAYAT VE EMEKLİLİK A.Ş.,Para Piyasası Fonu,43813853178,460791
VER,TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. KATILIM KATKI EMEKLİLİK YATIRIM  FONU,4,0.361,TÜRKİYE HAYAT VE EMEKLİLİK A.Ş.,Katılım Katkı Fonu,15409464859,1952912
VEY,TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. PARA PİYASASI KATILIM EMEKLİLİK YATIRIM FONU,2,0.9,TÜRKİYE HAYAT VE EMEKLİLİK A.Ş.,Para Piyasası Fonu,3560194243,27082
VGP,TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. TURKCELL GRUBU ÇALIŞANLARINA YÖNELİK PERA 1 DEGİŞKEN GRUP EMEKLİLİK YATIRIM FONU,6,0.75,TÜRKİYE HAYAT VE EMEKLİLİK A.Ş.,Değişken Fon,175754163,1799
VGT,TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. PERA 2 DEGİŞKEN GRUP EMEKLİLİK YATIRIM FONU,5,0.75,TÜRKİYE HAYAT VE EMEKLİLİK A.Ş.,Değişken Fon,223042917,1777
VGY,TÜRKİYE HAYAT VE EMEKLİLİK A.Ş. PERA 3 DEGİŞKEN GRUP EMEKLİLİK YATIRIM FONU,5,0.75,TÜRKİYE HAYAT VE EMEKLİLİK A.Ş.,Değişken Fon,117775917,1702
